DT_REALIZ_VOO,COUNT,QT_PAX_CONEX_DOM,QT_PAX_CONEX_INT,QT_PAX_PAGANTE
01/06/2018,536,8568,2049,47212
02/06/2018,393,5087,2081,36401
03/06/2018,575,5962,2147,63133
04/06/2018,711,11337,2341,75246
05/06/2018,672,13024,2316,60428
06/06/2018,650,12268,2493,54723
07/06/2018,665,11842,2395,58453
08/06/2018,696,13974,2345,68922
09/06/2018,512,9032,3063,45176
10/06/2018,565,8790,2870,57031
11/06/2018,704,15016,2716,67977
12/06/2018,641,12322,2423,53200
13/06/2018,663,12653,2418,58218
14/06/2018,675,12642,2689,62836
15/06/2018,689,15139,2499,70049
16/06/2018,497,8274,3201,42973
17/06/2018,569,9282,2555,56037
18/06/2018,559,12571,1730,57905
19/06/2018,521,10754,2076,45491
20/06/2018,609,13023,2516,52775
21/06/2018,682,12847,2636,66024
22/06/2018,767,15275,3172,70886
23/06/2018,498,8458,2769,41798
24/06/2018,603,10651,2888,58757
25/06/2018,653,15280,1695,66236
26/06/2018,650,12348,2513,57738
27/06/2018,635,11957,2417,53383
28/06/2018,634,12528,2374,62636
29/06/2018,681,13805,2607,74456
30/06/2018,475,9467,1484,47681
01/07/2018,604,10095,2058,61140
02/07/2018,681,14963,1927,65372
03/07/2018,678,12817,2447,60871
04/07/2018,698,13291,2428,62125
05/07/2018,670,11259,2488,66044
06/07/2018,680,13042,2193,70669
07/07/2018,547,9795,2169,53167
08/07/2018,543,7676,3064,52582
09/07/2018,724,14976,2422,72617
10/07/2018,697,14602,2809,63296
11/07/2018,676,16101,2575,65189
12/07/2018,704,16741,2797,71231
13/07/2018,716,17494,2761,76110
14/07/2018,571,12297,2751,56849
15/07/2018,595,10800,2712,61765
16/07/2018,703,19619,2144,77076
17/07/2018,713,20603,2129,72845
18/07/2018,705,20415,1905,74103
19/07/2018,717,19055,2835,75369
20/07/2018,675,14754,1994,72551
21/07/2018,580,13702,3059,60499
22/07/2018,622,12960,2840,68316
23/07/2018,693,19802,2008,78995
24/07/2018,692,21882,2314,73851
25/07/2018,713,19497,2932,71694
26/07/2018,717,18433,3062,72115
27/07/2018,691,18427,2520,75184
28/07/2018,538,12605,2406,55583
29/07/2018,592,12636,2647,65813
30/07/2018,723,19822,2753,74860
31/07/2018,708,17984,2717,65257
01/08/2018,655,16986,2499,63502
02/08/2018,616,13941,2748,58521
03/08/2018,682,15414,2612,71589
04/08/2018,554,10443,3352,51556
05/08/2018,575,11390,2502,62031
06/08/2018,678,16464,2492,72124
07/08/2018,646,14483,2227,62189
08/08/2018,700,14521,3070,66261
09/08/2018,666,14901,2441,68099
10/08/2018,658,13437,2744,69070
11/08/2018,483,9849,2235,47436
12/08/2018,589,10428,2949,57533
13/08/2018,676,17266,2102,73112
14/08/2018,651,15087,2260,63080
15/08/2018,611,12232,2018,62045
16/08/2018,606,14033,1582,64908
17/08/2018,672,16917,2280,73975
18/08/2018,505,10680,2652,49688
19/08/2018,567,11470,2387,61720
20/08/2018,1273,33282,4710,131416
21/08/2018,644,15543,1898,62789
22/08/2018,597,12396,1732,58833
23/08/2018,631,13625,1796,64102
